,rank,appid,name,num_votes,rating,tags
0,1,1794680,Vampire Survivors,259830,98.0,"['co-op', 'multiplayer', 'singleplayer']"
1,2,1245620,ELDEN RING,1115577,93.0,"['co-op', 'multiplayer', 'singleplayer']"
2,3,1332010,Stray,167991,97.0,['singleplayer']
3,4,1593500,God of War,173722,96.0,['singleplayer']
4,5,1687950,Persona 5 Royal,122528,96.0,['singleplayer']
5,6,648800,Raft,365762,93.0,"['co-op', 'multiplayer', 'singleplayer']"
6,7,1817070,Marvel’s Spider-Man Remastered,127041,96.0,['singleplayer']
7,8,1167630,Teardown,122297,96.0,['singleplayer']
8,9,1313140,Cult of the Lamb,119097,96.0,"['co-op', 'multiplayer', 'singleplayer']"
9,10,1290000,PowerWash Simulator,57101,96.0,"['co-op', 'multiplayer', 'singleplayer']"
10,11,1262350,SIGNALIS,31226,97.0,['singleplayer']
11,12,1451940,NEEDY STREAMER OVERLOAD,52402,95.0,['singleplayer']
12,13,1533420,Neon White,19447,98.0,['singleplayer']
13,14,1455840,Dorfromantik,28916,96.0,['singleplayer']
14,15,1948280,Stacklands,28776,96.0,['singleplayer']
15,16,1999360,Placid Plastic Duck Simulator,19274,98.0,"['co-op', 'multiplayer', 'singleplayer']"
16,17,1424330,Wobbledogs,13879,98.0,['singleplayer']
17,18,1275670,Outcore: Desktop Adventure,16966,97.0,['singleplayer']
18,19,1718570,ASTLIBRA Revision,29524,95.0,['singleplayer']
19,20,1817190,Marvel’s Spider-Man: Miles Morales,50350,93.0,['singleplayer']
20,21,975370,Dwarf Fortress,30354,95.0,['singleplayer']
21,22,1850570,DEATH STRANDING DIRECTOR'S CUT,57561,93.0,['singleplayer']
22,23,1703340,The Stanley Parable: Ultra Deluxe,33832,94.0,['singleplayer']
23,24,1985690,The Looker,15350,97.0,['singleplayer']
24,25,2171440,Fear & Hunger 2: Termina,13888,97.0,['singleplayer']
25,26,261550,Mount & Blade II: Bannerlord,284432,88.0,"['multiplayer', 'singleplayer']"
26,27,1599600,PlateUp!,25642,95.0,"['co-op', 'multiplayer', 'singleplayer']"
27,28,1902490,Aperture Desk Job,24608,95.0,['singleplayer']
28,29,1059990,Trombone Champ,10768,98.0,['singleplayer']
29,30,1210320,Potion Craft: Alchemist Simulator,42420,93.0,['singleplayer']
30,31,1296830,暖雪 Warm Snow,38280,93.0,['singleplayer']
31,32,1061910,Metal: Hellsinger,16565,96.0,['singleplayer']
32,33,1677770,The Case of the Golden Idol,9927,98.0,['singleplayer']
33,34,1350650,FreshWomen - Season 1,18398,95.0,['singleplayer']
34,35,1761390,Hatsune Miku: Project DIVA Mega Mix+,21821,95.0,['singleplayer']
35,36,962130,Grounded,92302,90.0,"['co-op', 'multiplayer', 'singleplayer']"
36,37,1328840,Lost in Play,8038,98.0,['singleplayer']
37,38,1927720,Monument Valley,7970,98.0,['singleplayer']
38,39,1239690,Retrowave,15316,95.0,"['multiplayer', 'singleplayer']"
39,40,2088570,Tiny Rogues,10390,97.0,['singleplayer']
40,41,674140,Bugsnax,8632,97.0,['singleplayer']
41,42,1515210,The Past Within,16180,95.0,"['co-op', 'multiplayer']"
42,43,1684930,CULTIC,8132,97.0,['singleplayer']
43,44,2240530,BABBDI,7715,98.0,['singleplayer']
44,45,1260520,Patrick's Parabox,5299,99.0,['singleplayer']
45,46,1574580,Strange Horticulture,14920,95.0,['singleplayer']
46,47,1586800,Lil Gator Game,5662,99.0,['singleplayer']
47,48,1829980,Café Stella and the Reaper's Butterflies,6396,98.0,['singleplayer']
48,49,1488200,Symphony of War: The Nephilim Saga,14062,95.0,['singleplayer']
49,50,1922560,Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,45114,91.0,"['co-op', 'multiplayer', 'singleplayer']"
50,51,1361510,Teenage Mutant Ninja Turtles: Shredder's Revenge,14299,94.0,"['co-op', 'multiplayer', 'singleplayer']"
51,52,1901370,Ib,4935,99.0,['singleplayer']
52,53,920210,LEGO® Star Wars™: The Skywalker Saga,47143,90.0,"['co-op', 'multiplayer', 'singleplayer']"
53,54,1977530,One-armed cook,30390,92.0,"['co-op', 'multiplayer', 'singleplayer']"
54,55,799640,Dungeon Munchies,7051,97.0,['singleplayer']
55,56,2070550,A Castle Full of Cats,4316,99.0,['singleplayer']
56,57,1359980,POSTAL: Brain Damaged,10381,95.0,['singleplayer']
57,58,799600,Cosmoteer: Starship Architect & Commander,12332,95.0,"['co-op', 'multiplayer', 'singleplayer']"
58,59,1997680,REFLEXIA Prototype ver.,7233,97.0,['singleplayer']
59,60,1969080,A Building Full of Cats,4290,99.0,['singleplayer']
60,61,1659420,UNCHARTED™: Legacy of Thieves Collection,37218,90.0,['singleplayer']
61,62,1718870,Spaceflight Simulator,7268,96.0,['singleplayer']
62,63,1645820,SurrounDead,22322,92.0,['singleplayer']
63,64,1147550,Not For Broadcast,12199,94.0,['singleplayer']
64,65,1205520,Pentiment,8921,95.0,['singleplayer']
65,66,2058180,Judgment,11200,94.0,['singleplayer']
66,67,1637320,Dome Keeper,18690,92.0,['singleplayer']
67,68,1179080,FAITH: The Unholy Trinity,8261,95.0,['singleplayer']
68,69,1732180,Kaiju Princess,6230,96.0,['singleplayer']
69,70,1150760,Gloomwood,7700,95.0,['singleplayer']
70,71,992300,嗜血印 Bloody Spell,38264,90.0,['singleplayer']
71,72,1712830,Baldi's Basics Classic Remastered,14655,93.0,['singleplayer']
72,73,1182900,A Plague Tale: Requiem,23871,91.0,['singleplayer']
73,74,1063660,Bendy and the Dark Revival,14311,93.0,['singleplayer']
74,75,1954200,Kena: Bridge of Spirits,16534,92.0,['singleplayer']
75,76,1776970,月に寄りそう乙女の作法,4227,98.0,['singleplayer']
76,77,1293180,SuchArt: Genius Artist Simulator,4537,97.0,['singleplayer']
77,78,1599020,Tinykin,3981,98.0,['singleplayer']
78,79,2237980,Outpath: First Journey,4672,97.0,['singleplayer']
79,80,1269640,Beacon Pines,4126,98.0,['singleplayer']
80,81,1629520,A Little to the Left,17009,92.0,['singleplayer']
81,82,1215390,Animal Revolt Battle Simulator,6520,95.0,['singleplayer']
82,83,1585220,Melatonin,7846,95.0,['singleplayer']
83,84,553420,TUNIC,16993,91.0,['singleplayer']
84,85,2058190,Lost Judgment,8902,94.0,['singleplayer']
85,86,2106520,私のリアルは充実しすぎている フルボイス版,5053,96.0,['singleplayer']
86,87,1237320,Sonic Frontiers,26971,90.0,['singleplayer']
87,88,1341290,We Were Here Forever,17632,91.0,"['co-op', 'multiplayer']"
88,89,1148760,I Was a Teenage Exocolonist,4433,96.0,['singleplayer']
89,90,2135690,Ticy Adventure Club,3220,98.0,['singleplayer']
90,91,1594320,Captain of Industry,9381,93.0,['singleplayer']
91,92,1462040,FINAL FANTASY VII REMAKE INTERGRADE,44360,88.0,['singleplayer']
92,93,1766740,Choo-Choo Charles,16789,91.0,['singleplayer']
93,94,1717770,The Upturned,2596,99.0,['singleplayer']
94,95,1574270,Sucker for Love: First Date,2914,98.0,['singleplayer']
95,96,1942120,The Complex: Found Footage,9349,93.0,['singleplayer']
96,97,1578650,Citizen Sleeper,9580,93.0,['singleplayer']
97,98,1854430,How Fish Is Made,5315,95.0,['singleplayer']
98,99,1659040,HITMAN World of Assassination,59187,87.0,['singleplayer']
99,100,1615290,Ravenous Devils,9538,93.0,['singleplayer']
100,101,1253920,Rogue Legacy 2,14834,91.0,['singleplayer']
101,102,2141730,Backrooms: Escape Together,32830,88.0,"['co-op', 'multiplayer', 'singleplayer']"
102,103,1935660,Chop Goblins,3073,97.0,['singleplayer']
103,104,1522870,Supraland Six Inches Under,3971,96.0,['singleplayer']
104,105,1665190,Monster Prom 3: Monster Roadtrip,3256,97.0,"['co-op', 'multiplayer', 'singleplayer']"
105,106,1035990,Dialtown: Phone Dating Sim,2149,99.0,['singleplayer']
106,107,1848450,Nightmare of Decay,4214,96.0,['singleplayer']
107,108,1846170,Iron Lung,9983,92.0,['singleplayer']
108,109,1161580,Hardspace: Shipbreaker,21565,89.0,['singleplayer']
109,110,1284210,Guild Wars 2®,26539,89.0,"['co-op', 'multiplayer']"
110,111,1109570,Word Game,6200,94.0,['singleplayer']
111,112,1583230,High On Life,23021,89.0,['singleplayer']
112,113,2206340,Aokana - Four Rhythms Across the Blue - EXTRA2,1994,99.0,['singleplayer']
113,114,2207540,Pages of Time: Prologue,2853,97.0,['singleplayer']
114,115,1372110,JoJo's Bizarre Adventure: All-Star Battle R,15089,90.0,"['co-op', 'multiplayer', 'singleplayer']"
115,116,1115050,Will You Snail?,2774,97.0,['singleplayer']
116,117,1970460,Garden Galaxy,2583,98.0,['singleplayer']
117,118,964800,Prodeus,7974,93.0,"['co-op', 'multiplayer', 'singleplayer']"
118,119,2085360,Insomnia: Theater in the Head,2765,97.0,['singleplayer']
119,120,1834870,Lily's Well,2501,98.0,['singleplayer']
120,121,1171320,Frog Detective 3: Corruption at Cowboy County,2020,99.0,['singleplayer']
121,122,1155970,Roadwarden,4820,94.0,['singleplayer']
122,123,1737100,Treasure of Nadia,6419,93.0,['singleplayer']
