,rank,appid,name,num_votes,rating,tags
0,1,892970,Valheim,525865,94.0,"['co-op', 'multiplayer', 'singleplayer']"
1,2,508440,Totally Accurate Battle Simulator,144196,98.0,"['multiplayer', 'singleplayer']"
2,3,1426210,It Takes Two,250444,95.0,"['co-op', 'multiplayer']"
3,4,1092790,Inscryption,142157,97.0,['singleplayer']
4,5,1366540,Dyson Sphere Program,89432,98.0,['singleplayer']
5,6,1196590,Resident Evil Village,136849,96.0,['singleplayer']
6,7,1454400,Cookie Clicker,88086,97.0,['singleplayer']
7,8,1625450,Muck,181204,93.0,"['co-op', 'multiplayer', 'singleplayer']"
8,9,1288310,Firework,43617,98.0,['singleplayer']
9,10,1584090,Touhou Mystia's Izakaya,31780,98.0,['singleplayer']
10,11,1217060,Gunfire Reborn,102441,93.0,"['co-op', 'multiplayer', 'singleplayer']"
11,12,1206560,WorldBox - God Simulator,51836,95.0,['singleplayer']
12,13,1259420,Days Gone,111319,93.0,['singleplayer']
13,14,597170,Clone Drone in the Danger Zone,36718,96.0,"['co-op', 'multiplayer', 'singleplayer']"
14,15,1388880,Doki Doki Literature Club Plus!,30089,97.0,['singleplayer']
15,16,1082430,Before Your Eyes,21632,98.0,['singleplayer']
16,17,1782210,Crab Game,151842,91.0,"['co-op', 'multiplayer']"
17,18,1361320,The Room 4: Old Sins,17589,99.0,['singleplayer']
18,19,1062090,Timberborn,35971,96.0,['singleplayer']
19,20,1190000,Car Mechanic Simulator 2021,34899,96.0,['singleplayer']
20,21,1557740,ROUNDS,41369,95.0,['multiplayer']
21,22,1248130,Farming Simulator 22,89610,93.0,"['co-op', 'multiplayer', 'singleplayer']"
22,23,337320,Paint the Town Red,31474,96.0,"['co-op', 'multiplayer', 'singleplayer']"
23,24,990630,The Last Campfire,18166,98.0,['singleplayer']
24,25,1551360,Forza Horizon 5,263979,89.0,"['co-op', 'multiplayer', 'singleplayer']"
25,26,1604000,Milk outside a bag of milk outside a bag of milk,20994,97.0,['singleplayer']
26,27,1147560,Skul: The Hero Slayer,56661,93.0,['singleplayer']
27,28,1256670,Library Of Ruina,40090,94.0,['singleplayer']
28,29,1127500,Mini Motorways,23374,96.0,['singleplayer']
29,30,860510,Little Nightmares II,55038,93.0,['singleplayer']
30,31,1388770,Cruelty Squad,22889,96.0,['singleplayer']
31,32,1369630,ENDER LILIES: Quietus of the Knights,43376,94.0,['singleplayer']
32,33,1088850,Marvel's Guardians of the Galaxy,43297,94.0,['singleplayer']
33,34,1419170,My Singing Monsters,45912,94.0,"['co-op', 'multiplayer', 'singleplayer']"
34,35,488860,MADNESS: Project Nexus,16777,97.0,"['co-op', 'multiplayer', 'singleplayer']"
35,36,1390350,Webbed,14708,98.0,['singleplayer']
36,37,1307580,TOEM: A Photo Adventure,10007,99.0,['singleplayer']
37,38,843380,Super Animal Royale,43768,93.0,"['co-op', 'multiplayer']"
38,39,1727650,死寂（Deathly Stillness）,21974,96.0,['singleplayer']
39,40,1291340,Townscaper,21374,95.0,['singleplayer']
40,41,1135690,Unpacking,38673,93.0,['singleplayer']
41,42,848450,Subnautica: Below Zero,101664,90.0,['singleplayer']
42,43,1274570,DEVOUR,86597,91.0,"['co-op', 'multiplayer', 'singleplayer']"
43,44,1328670,Mass Effect™ Legendary Edition,62733,91.0,['singleplayer']
44,45,1282730,Loop Hero,35951,93.0,['singleplayer']
45,46,1714320,Find Love or Die Trying,11998,97.0,['singleplayer']
46,47,1764390,BAD END THEATER,9433,98.0,['singleplayer']
47,48,939400,LoveChoice,35561,93.0,['singleplayer']
48,49,607080,Psychonauts 2,13867,96.0,['singleplayer']
49,50,763890,Wildermyth,18010,95.0,"['co-op', 'multiplayer', 'singleplayer']"
50,51,874260,The Forgotten City,12879,96.0,['singleplayer']
51,52,1178830,Bright Memory: Infinite,39420,92.0,['singleplayer']
52,53,330830,Tales from the Borderlands,19302,94.0,['singleplayer']
53,54,1698960,Project Kat - Paper Lily Prologue,5730,99.0,['singleplayer']
54,55,1830840,The Planet Crafter: Prologue,10628,96.0,['singleplayer']
55,56,1182620,Impostor Factory,12400,96.0,['singleplayer']
56,57,1469280,SuchArt: Creative Space,7136,98.0,['singleplayer']
