,rank,appid,name,num_votes,rating,tags
0,1,1118200,People Playground,305186,98.0,['singleplayer']
1,2,646570,Slay the Spire,205020,98.0,['singleplayer']
2,3,814380,Sekiro™: Shadows Die Twice - GOTY Edition,343254,95.0,['singleplayer']
3,4,883710,Resident Evil 2,190004,97.0,['singleplayer']
4,5,1174180,Red Dead Redemption 2,846142,92.0,"['co-op', 'multiplayer', 'singleplayer']"
5,6,457140,Oxygen Not Included,137958,97.0,['singleplayer']
6,7,601150,Devil May Cry 5,158716,96.0,"['co-op', 'multiplayer', 'singleplayer']"
7,8,460950,Katana ZERO,74136,98.0,['singleplayer']
8,9,813780,Age of Empires II: Definitive Edition,174310,95.0,"['co-op', 'multiplayer', 'singleplayer']"
9,10,976730,Halo: The Master Chief Collection,254197,92.0,"['co-op', 'multiplayer', 'singleplayer']"
10,11,620980,Beat Saber,75720,96.0,"['multiplayer', 'singleplayer']"
11,12,787480,Phoenix Wright: Ace Attorney Trilogy,41978,98.0,['singleplayer']
12,13,1055540,A Short Hike,21269,99.0,['singleplayer']
13,14,632470,Disco Elysium - The Final Cut,123592,93.0,['singleplayer']
14,15,977950,A Dance of Fire and Ice,78992,94.0,['singleplayer']
15,16,736260,Baba Is You,23533,98.0,['singleplayer']
16,17,942970,Unheard - Voices of Crime,32412,96.0,['singleplayer']
17,18,752590,A Plague Tale: Innocence,66320,93.0,['singleplayer']
18,19,1170880,Grimm's Hollow,14252,99.0,['singleplayer']
19,20,677620,Splitgate,111183,91.0,"['multiplayer', 'singleplayer']"
20,21,621060,PC Building Simulator,52304,94.0,['singleplayer']
21,22,557340,My Friend Pedro,28089,96.0,['singleplayer']
22,23,1127400,Mindustry,24753,96.0,"['co-op', 'multiplayer', 'singleplayer']"
23,24,512900,Streets of Rogue,22613,96.0,"['co-op', 'multiplayer', 'singleplayer']"
24,25,1093910,Tales of the Black Forest,14986,98.0,['singleplayer']
25,26,703080,Planet Zoo,93345,91.0,['singleplayer']
26,27,655500,MX Bikes,33329,94.0,"['multiplayer', 'singleplayer']"
27,28,774171,Muse Dash,124147,90.0,['singleplayer']
28,29,851100,Touhou Luna Nights,14560,97.0,['singleplayer']
29,30,412020,Metro Exodus,128275,90.0,['singleplayer']
30,31,692850,Bloodstained: Ritual of the Night,40733,93.0,"['co-op', 'multiplayer', 'singleplayer']"
31,32,805550,Assetto Corsa Competizione,44057,93.0,"['multiplayer', 'singleplayer']"
32,33,812810,missed messages.,15395,96.0,['singleplayer']
33,34,1172380,STAR WARS Jedi: Fallen Order™,167674,88.0,['singleplayer']
34,35,1070710,Kind Words (lo fi chill beats to write to),8996,98.0,"['co-op', 'multiplayer', 'singleplayer']"
35,36,314650,SpaceEngine,14534,96.0,['singleplayer']
36,37,681280,Descenders,22176,94.0,"['multiplayer', 'singleplayer']"
37,38,1189490,觅长生,30686,93.0,['singleplayer']
38,39,244850,Space Engineers,135748,89.0,"['co-op', 'multiplayer', 'singleplayer']"
39,40,943700,Monster Girl Island: Prologue,16955,95.0,['singleplayer']
