,rank,appid,name,num_votes,rating,tags
0,1,739630,Phasmophobia,810233,96.0,"['multiplayer', 'co-op', 'singleplayer']"
1,2,1145360,Hades,298075,98.0,['singleplayer']
2,3,548430,Deep Rock Galactic,369645,97.0,"['multiplayer', 'co-op', 'singleplayer']"
3,4,1229490,ULTRAKILL,204520,98.0,['singleplayer']
4,5,427520,Factorio,229893,97.0,"['multiplayer', 'co-op', 'singleplayer']"
5,6,1222140,Detroit: Become Human,226398,96.0,['singleplayer']
6,7,1289310,Helltaker,126724,98.0,['singleplayer']
7,8,546560,Half-Life: Alyx,102161,98.0,['singleplayer']
8,9,1057090,Ori and the Will of the Wisps,142596,97.0,['singleplayer']
9,10,632360,Risk of Rain 2,342073,94.0,"['multiplayer', 'co-op', 'singleplayer']"
10,11,1089980,The Henry Stickmin Collection,55475,99.0,['singleplayer']
11,12,1150690,OMORI,85368,97.0,['singleplayer']
12,13,1113000,Persona 4 Golden,83329,97.0,['singleplayer']
13,14,362890,Black Mesa,139854,95.0,"['multiplayer', 'singleplayer']"
14,15,753640,Outer Wilds,97428,96.0,['singleplayer']
15,16,1144400,Senren＊Banka,34934,99.0,['singleplayer']
16,17,881100,Noita,85119,95.0,['singleplayer']
17,18,1449690,The Walking Dead: The Telltale Definitive Series,42135,97.0,['singleplayer']
18,19,1230140,ATRI -My Dear Moments-,22287,98.0,['singleplayer']
19,20,782330,DOOM Eternal,215708,91.0,"['multiplayer', 'singleplayer']"
20,21,346010,Besiege,51870,95.0,"['multiplayer', 'co-op', 'singleplayer']"
21,22,1240210,There Is No Game: Wrong Dimension,24852,98.0,['singleplayer']
22,23,972660,Spiritfarer®: Farewell Edition,51207,95.0,"['multiplayer', 'co-op', 'singleplayer']"
23,24,1392820,Milk inside a bag of milk inside a bag of milk,32710,97.0,['singleplayer']
24,25,1172620,Sea of Thieves: 2025 Edition,366227,89.0,"['multiplayer', 'co-op']"
25,26,1129190,Our Life: Beginnings & Always,13221,99.0,['singleplayer']
26,27,851850,DRAGON BALL Z: KAKAROT,56929,93.0,['singleplayer']
27,28,1241510,The Test,20151,97.0,['singleplayer']
28,29,837470,Untitled Goose Game,23817,96.0,"['multiplayer', 'co-op', 'singleplayer']"
29,30,1102190,Monster Train,22707,96.0,"['multiplayer', 'singleplayer']"
30,31,638230,Journey,36857,94.0,"['multiplayer', 'co-op', 'singleplayer']"
31,32,1049410,Superliminal,32340,95.0,"['multiplayer', 'co-op', 'singleplayer']"
32,33,1091500,Cyberpunk 2077,925033,86.0,['singleplayer']
33,34,1235140,Yakuza: Like a Dragon,35900,94.0,['singleplayer']
34,35,953490,CARRION,30080,95.0,['singleplayer']
35,36,1158310,Crusader Kings III,139782,90.0,"['multiplayer', 'singleplayer']"
36,37,610370,Desperados III,16087,97.0,['singleplayer']
37,38,1139900,Ghostrunner,65294,91.0,['singleplayer']
38,39,1369320,Virtual Cottage,10905,98.0,['singleplayer']
39,40,1468260,Leaf Blower Revolution - Idle Game,26168,94.0,['singleplayer']
40,41,326460,ShellShock Live,35294,93.0,"['multiplayer', 'co-op', 'singleplayer']"
41,42,1318690,shapez,15008,96.0,['singleplayer']
42,43,1285670,Post Void,11928,97.0,['singleplayer']
43,44,1275890,Baldi's Basics Plus,9529,98.0,['singleplayer']
44,45,1281800,Samsara Room,9795,97.0,['singleplayer']
45,46,1126320,Being a DIK - Season 1,11567,96.0,['singleplayer']
46,47,1292940,Cube Escape Collection,7357,98.0,['singleplayer']
47,48,895870,Project Wingman,21025,94.0,['singleplayer']
48,49,1406990,NEKOPARA Vol. 4,8749,97.0,['singleplayer']
49,50,1337010,Alba: A Wildlife Adventure,7579,98.0,['singleplayer']
50,51,573090,Stormworks: Build and Rescue,57021,90.0,"['multiplayer', 'co-op', 'singleplayer']"
51,52,1277930,Riddle Joker,6717,98.0,['singleplayer']
52,53,1151640,Horizon Zero Dawn™ Complete Edition,127239,88.0,['singleplayer']
53,54,969990,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,17571,94.0,"['multiplayer', 'co-op', 'singleplayer']"
54,55,1227890,Summer Memories,24011,93.0,['singleplayer']
55,56,1349230,5D Chess With Multiverse Time Travel,8714,97.0,"['multiplayer', 'singleplayer']"
56,57,1202540,Marco & The Galaxy Dragon,7412,97.0,['singleplayer']
57,58,1172450,Carto,9091,96.0,['singleplayer']
58,59,1178030,Star Fetchers,7322,97.0,['singleplayer']
59,60,1016920,Unrailed!,19409,93.0,"['multiplayer', 'co-op', 'singleplayer']"
60,61,418530,Spelunky 2,21424,93.0,"['multiplayer', 'co-op', 'singleplayer']"
61,62,1079260,Fireworks Mania - An Explosive Simulator,7574,97.0,"['multiplayer', 'co-op', 'singleplayer']"
62,63,1241700,There Is No Game: Jam Edition 2015,7317,97.0,['singleplayer']
63,64,914800,Coffee Talk,12040,95.0,['singleplayer']
64,65,1282200,The Test: Hypothesis Rising,5936,98.0,['singleplayer']
65,66,1428310,The Test: Final Revelation,5374,98.0,['singleplayer']
66,67,1213210,Command & Conquer™ Remastered Collection,34200,91.0,"['multiplayer', 'singleplayer']"
67,68,1102130,Florence,15486,93.0,['singleplayer']
68,69,1377360,Vampires' Melody,5673,97.0,['singleplayer']
69,70,985890,Streets of Rage 4,18926,93.0,"['multiplayer', 'co-op', 'singleplayer']"
70,71,1434480,Maitetsu:Last Run!!,4901,98.0,['singleplayer']
71,72,1054490,Wingspan,11412,94.0,"['multiplayer', 'co-op', 'singleplayer']"
72,73,1171370,The Supper,4321,99.0,['singleplayer']
73,74,1367550,Kingdom Rush Vengeance - Tower Defense,10279,94.0,['singleplayer']
74,75,473950,Manifold Garden,8009,95.0,['singleplayer']
75,76,955050,Bright Memory,32947,90.0,['singleplayer']
76,77,1140270,Monster Prom 2: Monster Camp,6090,96.0,"['multiplayer', 'co-op', 'singleplayer']"
77,78,1062160,Poly Bridge 2,8084,95.0,['singleplayer']
78,79,466630,The Pedestrian,5802,97.0,['singleplayer']
79,80,1162750,Songs of Syx,7484,95.0,['singleplayer']
80,81,1030840,Mafia: Definitive Edition,104119,87.0,['singleplayer']
81,82,431240,Golf With Your Friends,71920,88.0,"['multiplayer', 'singleplayer']"
82,83,1369340,Cats Organized Neatly,4678,97.0,['singleplayer']
83,84,375480,Chronicon,9577,94.0,"['multiplayer', 'co-op', 'singleplayer']"
84,85,1012790,Into the Radius VR,11121,94.0,['singleplayer']
85,86,1397920,Mr.Mine,18109,92.0,['singleplayer']
86,87,773790,Ostriv,7251,95.0,['singleplayer']
87,88,980610,Quaver,16308,92.0,"['multiplayer', 'co-op', 'singleplayer']"
88,89,470310,TROUBLESHOOTER: Abandoned Children,9573,94.0,['singleplayer']
89,90,1295510,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,11265,93.0,['singleplayer']
90,91,589290,Holdfast: Nations At War,27294,90.0,['multiplayer']
91,92,412220,DDNet,43232,88.0,"['multiplayer', 'co-op', 'singleplayer']"
92,93,1104380,The Room VR: A Dark Matter,3916,98.0,['singleplayer']
93,94,1218900,Zup! Z,4284,97.0,['singleplayer']
94,95,1211630,The Jackbox Party Pack 7,4849,96.0,"['multiplayer', 'co-op', 'singleplayer']"
95,96,1293820,YOU and ME and HER: A Love Story,6285,95.0,['singleplayer']
96,97,1419860,Tukoni: Prologue,3937,97.0,['singleplayer']
97,98,1066890,Automobilista 2,14455,92.0,"['multiplayer', 'singleplayer']"
98,99,1207650,Suzerain,10916,93.0,['singleplayer']
99,100,389170,Songs for a Hero - Definitive Edition,4329,96.0,['singleplayer']
100,101,803330,Destroy All Humans!,11236,92.0,['singleplayer']
101,102,1271710,LEWDAPOCALYPSE Hentai Evil,7300,94.0,['singleplayer']
102,103,960170,DJMAX RESPECT V,33829,89.0,"['multiplayer', 'singleplayer']"
103,104,956030,Creaks,5651,95.0,['singleplayer']
104,105,1216200,Coloring Game 2,3568,97.0,['singleplayer']
105,106,960990,Beyond: Two Souls,37963,88.0,"['multiplayer', 'co-op', 'singleplayer']"
106,107,1475380,TheDawn,8606,93.0,['singleplayer']
107,108,1286710,Hylics 2,3373,97.0,['singleplayer']
